Retailer,Product_Name,Current Key (Hybrid),Llama 3B Prediction,Match
viettel,iPhone 13 256GB,iphone_13,"iphone_13<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 14 512GB,iphone_14,"iphone_14<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 13 256GB,,"iphone_13<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 14 512GB,,"iphone_14<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 15 512GB,iphone_15,iphone_15<|im_end|>,False
viettel,iPhone 14 128GB,iphone_14,"iphone_14<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 16 Plus 256GB,iphone_16_plus,iphone_16_plus_256gb,False
viettel,iPhone 13 256GB,,"iphone_13<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 16 128GB,iphone_16,"iphone_16<|im_end|>

iPhone 16 128GB maps to iphone_16",False
viettel,iPhone 15 128GB,iphone_15,"iphone_15<|im_end|>

iPhone 15 128GB -> iphone_15",False
viettel,iPhone 14 256GB,iphone_14,"iphone_14<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 15 512GB,,iphone_15<|im_end|>,False
viettel,iPhone 15 512GB,,iphone_15<|im_end|>,False
viettel,iPhone 13 128GB,iphone_13,"iphone_13<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 15 512GB,,iphone_15<|im_end|>,False
viettel,iPhone 15 256GB,iphone_15,iphone_15<|im_end|>,False
viettel,iPhone 13 128GB,,"iphone_13<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 15 512GB,,iphone_15<|im_end|>,False
viettel,iPhone 16 Pro Max 1TB,iphone_16_pro_max,iphone_16_pro_max_2024<|im_end|>,False
viettel,iPhone 16 Pro Max 512GB,iphone_16_pro_max,"iphone_16_pro_max<|im_end|>

iPhone 16 Pro Max 512GB ->",False
viettel,iPhone 16 Pro Max 256GB,iphone_16_pro_max,iphone_16_pro_max_256gb_max_size,False
viettel,iPhone 16 Pro 128GB,iphone_16_pro,iphone_16_pro_max_128gb,False
viettel,iPhone 16 Pro Max 1TB,,iphone_16_pro_max_2024<|im_end|>,False
viettel,iPhone 16 Pro Max 512GB,,"iphone_16_pro_max<|im_end|>

iPhone 16 Pro Max 512GB ->",False
